,agent_id,date_utc,punch_in,punch_out,user_shift_assign,timezone_string,time_zone
152,997,2023-07-20,2023-07-20 02:42:00,2023-07-20 02:49:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
153,997,2023-07-20,2023-07-20 02:52:00,2023-07-20 02:55:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
154,997,2023-07-20,2023-07-20 03:09:00,2023-07-20 03:20:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
155,997,2023-07-20,2023-07-20 03:24:00,2023-07-20 03:47:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
156,997,2023-07-20,2023-07-20 03:53:00,2023-07-20 03:56:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
157,997,2023-07-20,2023-07-20 04:00:00,2023-07-20 04:03:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
158,997,2023-07-20,2023-07-20 04:09:00,2023-07-20 04:15:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
159,997,2023-07-20,2023-07-20 04:22:00,2023-07-20 04:28:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
160,997,2023-07-20,2023-07-20 05:06:00,2023-07-20 05:09:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
161,997,2023-07-20,2023-07-20 05:14:00,2023-07-20 05:45:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
162,997,2023-07-20,2023-07-20 05:55:00,2023-07-20 06:14:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
163,997,2023-07-20,2023-07-20 18:13:00,2023-07-20 18:16:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
164,997,2023-07-20,2023-07-20 18:26:00,2023-07-20 18:34:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
165,997,2023-07-20,2023-07-20 18:56:00,2023-07-20 19:00:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
166,997,2023-07-20,2023-07-20 19:17:00,2023-07-20 19:20:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
167,997,2023-07-20,2023-07-20 22:23:00,2023-07-20 22:38:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
168,997,2023-07-20,2023-07-20 23:56:00,2023-07-21 00:00:00,DEL Sales 3 Tue-Sat 2.30am,Asia/Kolkata,-5:30:00
169,1902,2023-07-20,2023-07-20 00:13:00,2023-07-20 01:15:00,DEL Sales 11 Sun - Thu 08:30 PM,Asia/Kolkata,-5:30:00
170,1902,2023-07-20,2023-07-20 15:00:00,2023-07-20 16:38:00,DEL Sales 11 Sun - Thu 08:30 PM,Asia/Kolkata,-5:30:00
171,1902,2023-07-20,2023-07-20 16:46:00,2023-07-20 17:59:00,DEL Sales 11 Sun - Thu 08:30 PM,Asia/Kolkata,-5:30:00
172,1902,2023-07-20,2023-07-20 18:04:00,2023-07-20 18:10:00,DEL Sales 11 Sun - Thu 08:30 PM,Asia/Kolkata,-5:30:00
173,1902,2023-07-20,2023-07-20 18:20:00,2023-07-20 19:19:00,DEL Sales 11 Sun - Thu 08:30 PM,Asia/Kolkata,-5:30:00
174,1902,2023-07-20,2023-07-20 19:26:00,2023-07-20 19:31:00,DEL Sales 11 Sun - Thu 08:30 PM,Asia/Kolkata,-5:30:00
