"agent_id","date_utc","timezone_string","time_zone","user_shift_assign"
3050,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3051,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3051,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3051,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3053,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 8 Tue - Sat 06:30 PM
3058,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3058,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3058,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3060,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3060,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3060,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3061,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3061,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3061,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3062,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3062,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3062,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3063,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3063,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3063,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3064,"2023-07-18",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3064,"2023-07-19",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3064,"2023-07-20",Asia/Kolkata,-5:30:00,RivAgent_0230-1130IST Tue-Sat
3072,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3072,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3072,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3073,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3073,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3073,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
3074,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3074,"2023-07-19",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3074,"2023-07-20",Asia/Kolkata,-5:30:00,NewRiv_2359-0900
3075,"2023-07-18",Asia/Kolkata,-5:30:00,NewRiv_2230-0730 Mon-Fri
