"agent_id","punch_in","punch_out","date_utc"
997,2023-07-20 04:09:00,2023-07-20 04:15:00,2023-07-20
1739,2023-07-20 04:09:00,2023-07-20 06:15:00,2023-07-20
452,2023-07-20 04:14:00,2023-07-20 04:34:00,2023-07-20
601,2023-07-20 04:16:00,2023-07-20 04:36:00,2023-07-20
2794,2023-07-20 04:16:00,2023-07-20 04:19:00,2023-07-20
997,2023-07-20 04:22:00,2023-07-20 04:28:00,2023-07-20
2895,2023-07-20 04:22:00,2023-07-20 04:52:00,2023-07-20
2322,2023-07-20 04:23:00,2023-07-20 04:26:00,2023-07-20
2610,2023-07-20 04:23:00,2023-07-20 06:02:00,2023-07-20
1129,2023-07-20 04:25:00,2023-07-20 04:28:00,2023-07-20
2648,2023-07-20 04:25:00,2023-07-20 04:42:00,2023-07-20
2333,2023-07-20 04:28:00,2023-07-20 05:50:00,2023-07-20
2829,2023-07-20 04:34:00,2023-07-20 05:37:00,2023-07-20
3007,2023-07-20 04:34:00,2023-07-20 05:55:00,2023-07-20
352,2023-07-20 04:37:00,2023-07-20 04:44:00,2023-07-20
2251,2023-07-20 04:42:00,2023-07-20 07:02:00,2023-07-20
2424,2023-07-20 04:42:00,2023-07-20 05:11:00,2023-07-20
747,2023-07-20 04:43:00,2023-07-20 06:08:00,2023-07-20
452,2023-07-20 04:44:00,2023-07-20 04:51:00,2023-07-20
601,2023-07-20 04:45:00,2023-07-20 04:52:00,2023-07-20
1484,2023-07-20 04:45:00,2023-07-20 04:48:00,2023-07-20
2322,2023-07-20 04:50:00,2023-07-20 04:58:00,2023-07-20
2648,2023-07-20 04:51:00,2023-07-20 07:05:00,2023-07-20
2003,2023-07-20 04:52:00,2023-07-20 05:28:00,2023-07-20
2662,2023-07-20 04:54:00,2023-07-20 05:29:00,2023-07-20
352,2023-07-20 04:55:00,2023-07-20 05:28:00,2023-07-20
1772,2023-07-20 04:56:00,2023-07-20 05:01:00,2023-07-20
601,2023-07-20 04:57:00,2023-07-20 05:11:00,2023-07-20
1129,2023-07-20 04:57:00,2023-07-20 05:00:00,2023-07-20
2737,2023-07-20 04:57:00,2023-07-20 06:03:00,2023-07-20
1484,2023-07-20 05:01:00,2023-07-20 05:42:00,2023-07-20
2895,2023-07-20 05:05:00,2023-07-20 05:19:00,2023-07-20
997,2023-07-20 05:06:00,2023-07-20 05:09:00,2023-07-20
2489,2023-07-20 05:07:00,2023-07-20 05:15:00,2023-07-20
2462,2023-07-20 05:13:00,2023-07-20 05:16:00,2023-07-20
997,2023-07-20 05:14:00,2023-07-20 05:45:00,2023-07-20
2348,2023-07-20 05:14:00,2023-07-20 05:20:00,2023-07-20
601,2023-07-20 05:17:00,2023-07-20 05:20:00,2023-07-20
1772,2023-07-20 05:19:00,2023-07-20 05:26:00,2023-07-20
1673,2023-07-20 05:21:00,2023-07-20 06:12:00,2023-07-20
2489,2023-07-20 05:22:00,2023-07-20 05:32:00,2023-07-20
601,2023-07-20 05:25:00,2023-07-20 06:01:00,2023-07-20
2348,2023-07-20 05:28:00,2023-07-20 05:32:00,2023-07-20
1340,2023-07-20 05:30:00,2023-07-20 05:34:00,2023-07-20
1772,2023-07-20 05:32:00,2023-07-20 05:39:00,2023-07-20
2003,2023-07-20 05:35:00,2023-07-20 07:18:00,2023-07-20
2348,2023-07-20 05:35:00,2023-07-20 06:01:00,2023-07-20
572,2023-07-20 05:36:00,2023-07-20 05:39:00,2023-07-20
2638,2023-07-20 05:39:00,2023-07-20 06:21:00,2023-07-20
352,2023-07-20 05:40:00,2023-07-20 05:54:00,2023-07-20
2662,2023-07-20 05:40:00,2023-07-20 06:01:00,2023-07-20
2895,2023-07-20 05:40:00,2023-07-20 05:50:00,2023-07-20
2462,2023-07-20 05:42:00,2023-07-20 05:45:00,2023-07-20
2829,2023-07-20 05:43:00,2023-07-20 06:08:00,2023-07-20
2462,2023-07-20 05:49:00,2023-07-20 05:55:00,2023-07-20
1129,2023-07-20 05:52:00,2023-07-20 06:05:00,2023-07-20
2424,2023-07-20 05:52:00,2023-07-20 05:55:00,2023-07-20
2333,2023-07-20 05:53:00,2023-07-20 07:15:00,2023-07-20
1484,2023-07-20 05:54:00,2023-07-20 07:03:00,2023-07-20
997,2023-07-20 05:55:00,2023-07-20 06:14:00,2023-07-20
2895,2023-07-20 05:58:00,2023-07-20 06:01:00,2023-07-20
3007,2023-07-20 05:58:00,2023-07-20 06:02:00,2023-07-20
2424,2023-07-20 06:00:00,2023-07-20 06:03:00,2023-07-20
352,2023-07-20 06:01:00,2023-07-20 06:06:00,2023-07-20
2610,2023-07-20 06:07:00,2023-07-20 06:13:00,2023-07-20
2737,2023-07-20 06:08:00,2023-07-20 06:16:00,2023-07-20
747,2023-07-20 06:11:00,2023-07-20 10:35:00,2023-07-20
1129,2023-07-20 06:14:00,2023-07-20 06:20:00,2023-07-20
2610,2023-07-20 06:16:00,2023-07-20 06:19:00,2023-07-20
352,2023-07-20 06:17:00,2023-07-20 06:22:00,2023-07-20
1739,2023-07-20 06:19:00,2023-07-20 06:51:00,2023-07-20
1027,2023-07-20 06:20:00,2023-07-20 06:23:00,2023-07-20
1887,2023-07-20 06:23:00,2023-07-20 06:53:00,2023-07-20
352,2023-07-20 06:25:00,2023-07-20 06:36:00,2023-07-20
1027,2023-07-20 06:27:00,2023-07-20 06:36:00,2023-07-20
2895,2023-07-20 06:28:00,2023-07-20 06:31:00,2023-07-20
2610,2023-07-20 06:32:00,2023-07-20 07:47:00,2023-07-20
1129,2023-07-20 06:34:00,2023-07-20 06:45:00,2023-07-20
2829,2023-07-20 06:37:00,2023-07-20 07:05:00,2023-07-20
1673,2023-07-20 06:39:00,2023-07-20 08:09:00,2023-07-20
1739,2023-07-20 06:55:00,2023-07-20 06:58:00,2023-07-20
1129,2023-07-20 07:01:00,2023-07-20 07:04:00,2023-07-20
1027,2023-07-20 07:06:00,2023-07-20 07:09:00,2023-07-20
1484,2023-07-20 07:08:00,2023-07-20 08:05:00,2023-07-20
